,GAP
1889,-17978.0
1890,-17979.0
1891,-17980.0
1892,-17982.0
1893,-17983.0
1894,-17984.0
1895,-17985.0
1896,-17986.0
1897,-17987.0
1898,-17987.0
1899,-17988.0
1900,-17989.0
1901,-17991.0
1902,-17992.0
1903,-17993.0
1904,-17994.0
1905,-17996.0
1906,-17997.0
1907,-18458.0
1908,-18488.0
1909,-19008.0
1910,-19663.0
1911,-19883.0
1912,-19947.0
1913,-20128.0
1914,-20412.0
1915,-20577.0
1916,-20668.0
1917,-20686.0
1918,-20868.0
1919,-22048.0
1920,-22079.0
1921,-22711.0
1922,-23239.0
1923,-23411.0
1924,-23817.0
1925,-24104.0
1926,-24579.0
1927,-25196.0
1928,-25327.0
1929,-25796.0
1930,-25797.0
1931,-26750.0
1932,-26808.0
1933,-28398.0
1934,-28568.0
1935,-28763.0
1936,-28795.0
1937,-29783.0
1938,-30018.0
1939,-32166.0
1940,-32272.0
1941,-32387.0
1942,-32408.0
1943,-32554.0
1944,-33279.0
1945,-33647.0
1946,-33736.0
1947,-34145.0
1948,-34616.0
1949,-34670.0
1950,-34698.0
1951,-34790.0
1952,-35532.0
1953,-35740.0
1954,-35875.0
1955,-36045.0
1956,-36325.0
